date,year,type,country,activity,sex,age,injury,fatal,time
Feb,2018,Provoked,AUSTRALIA,Others,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",No Fatal,Night
Feb,2018,Unprovoked,AUSTRALIA,Others,M,35,Puncture wounds to leff foot & lower leg,No Fatal,Afternoon
Feb,2018,Unprovoked,AUSTRALIA,Swimming,F,0,"Collision / No injury, no attack",No Fatal,Evening
Feb,2018,Unprovoked,BRAZIL,Others,F,46,Lacerations to 4 toes of right foot,No Fatal,Evening
Feb,2018,Unprovoked,ECUADOR,Others,M,45,Injuries to right foot,No Fatal,Evening
Feb,2018,Unprovoked,AUSTRALIA,Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",No Fatal,Evening
Jan,2018,Unprovoked,AUSTRALIA,,M,18,Injuries to right leg,No Fatal,Morning
Jan,2018,Unprovoked,NEW CALEDONIA,Spearfishing,M,40,Injuries to abdomen and arm,No Fatal,Afternoon
Jan,2018,Unprovoked,AUSTRALIA,Diving,M,0,Severe laceration to left forearm,No Fatal,Afternoon
Jan,2018,Unprovoked,AUSTRALIA,Others,M,28,"No injury, shark took his swimfin",No Fatal,Evening
Jan,2018,Unprovoked,BRAZIL,Surfing,M,20,Minor injury to left forearm,No Fatal,Afternoon
Dec,2017,Unprovoked,USA,Surfing,F,54,Severe lacerations to left thigh & knee,No Fatal,Evening
Dec,2017,Unprovoked,USA,Surfing,F,35,Foot bitten,No Fatal,Afternoon
Dec,2017,Provoked,MALAYSIA,Fishing,M,24,"Minor injury to thigh, PROVOKED INCIDENT",No Fatal,Evening
Nov,2017,Unprovoked,COSTA RICA,Diving,M,26,Serious injury to leg,No Fatal,Evening
Nov,2017,Unprovoked,COSTA RICA,Others,F,49,FATAL,Fatal,Evening
Nov,2017,Unprovoked,USA,Spearfishing,M,25,Right leg bitten,No Fatal,Afternoon
Nov,2017,Unprovoked,USA,Surfing,F,14,Heel bitten,No Fatal,Afternoon
Nov,2017,Unprovoked,AUSTRALIA,Surfing,M,25,Puncture wounds to left shoulder,No Fatal,Afternoon
Nov,2017,Unprovoked,CUBA,Others,M,22,FATAL,Fatal,Evening
Oct,2017,Unprovoked,AUSTRALIA,Surfing,M,31,Minor injury to foot,No Fatal,Morning
Oct,2017,Unprovoked,USA,Surfing,M,17,Lacerations to left foot,No Fatal,Afternoon
Oct,2017,Unprovoked,USA,Swimming,F,60,Severe lacerations to left hand & wrist,No Fatal,Morning
Oct,2017,Unprovoked,AUSTRALIA,Others,F,15,Minor injuries,No Fatal,Afternoon
Oct,2017,Unprovoked,NEW ZEALAND,Others,M,0,"No injury, shark shook kayak x3 ",No Fatal,Morning
Oct,2017,Unprovoked,USA,Swimming,M,0,Puncture wounds & lacerations to foot,No Fatal,Afternoon
Oct,2017,Unprovoked,USA,Surfing,M,54,Lacerations to left hand,No Fatal,Evening
Oct,2017,Unprovoked,USA,Others,F,40,Abrasions,No Fatal,Afternoon
Sep,2017,Unprovoked,USA,Surfing,M,0,Lacerations to lower left leg and foot,No Fatal,Morning
Sep,2017,Unprovoked,AUSTRALIA,Surfing,M,0,"No injury, board damaged by shark",No Fatal,Evening
Sep,2017,Unprovoked,USA,Surfing,M,33,"Lacerations to right ankle, foot & toe",No Fatal,Afternoon
Sep,2017,Unprovoked,USA,Surfing,M,0,Laceration to upper arm,No Fatal,Afternoon
Sep,2017,Unprovoked,SPAIN,Others,M,13,Lacerations to right foot,No Fatal,Evening
Sep,2017,Unprovoked,USA,Surfing,M,28,Lacerations to left foot,No Fatal,Afternoon
Sep,2017,Unprovoked,USA,Surfing,M,18,Lacerations to left foot,No Fatal,Evening
Sep,2017,Unprovoked,AUSTRALIA,Surfing,M,35,Minor lacerations to right hip,No Fatal,Evening
Sep,2017,Unprovoked,JAPAN,Surfing,M,42,Injury to ankle & feet,No Fatal,Morning
Sep,2017,Unprovoked,USA,Surfing,M,17,Minor injury to right hand,No Fatal,Morning
Aug,2017,Unprovoked,AUSTRALIA,Surfing,M,37,"No injury, board bitten",No Fatal,Morning
Aug,2017,Unprovoked,USA,Others,F,0,Leg injured,No Fatal,Afternoon
Aug,2017,Unprovoked,SPAIN,Swimming,F,11,Lacerations to left foot,No Fatal,Evening
Aug,2017,Unprovoked,USA,,M,69,Not injured by shark but board bitten,No Fatal,Morning
Aug,2017,Unprovoked,USA,Swimming,M,13,Minor cuts to sole & toes of left foot,No Fatal,Afternoon
Aug,2017,Unprovoked,EGYPT,Others,F,20,Bite to right leg/hip,No Fatal,Evening
Aug,2017,Provoked,USA,Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,No Fatal,Evening
Aug,2017,Unprovoked,USA,Others,M,0,"No injury, bow of kayak bitten",No Fatal,Morning
Jul,2017,Unprovoked,USA,Others,M,15,Lacerations to lower leg,No Fatal,Evening
Jul,2017,Unprovoked,USA,Swimming,M,10,Abrasions and cuts to sole of foot,No Fatal,Afternoon
Jul,2017,Unprovoked,unknown,Surfing,M,37,Torso bitten,No Fatal,Afternoon
Jul,2017,Unprovoked,SPAIN,Swimming,F,0,Abrasion to arm from shark's rough skin,No Fatal,Afternoon
Jul,2017,Unprovoked,USA,,F,40,Foot bitten,No Fatal,Afternoon
Jul,2017,Unprovoked,USA,Others,M,40,"No injury, kayak bitten",No Fatal,Morning
Jul,2017,Unprovoked,USA,,M,50,"No injury, shark bit paddleboard",No Fatal,Morning
Jul,2017,Unprovoked,USA,Surfing,M,0,Pulled off board by shark but no injury,No Fatal,Evening
Jul,2017,Unprovoked,USA,Others,M,0,"No injury, kayak bitten",No Fatal,Morning
Jul,2017,Unprovoked,USA,Swimming,M,46,Lower legs bitten,No Fatal,Afternoon
Jul,2017,Unprovoked,SOUTH AFRICA,Surfing,F,13,"No injury, shark bit surfboard",No Fatal,Afternoon
Jun,2017,Unprovoked,USA,Swimming,F,14,Leg bitten,No Fatal,Evening
Jun,2017,Unprovoked,REUNION,Others,M,34,"No injury, shark bit surfboard ",No Fatal,Morning
Jun,2017,Unprovoked,SPAIN,Swimming,M,82,2-inch laceration to hand,No Fatal,Afternoon
Jun,2017,Unprovoked,AUSTRALIA,Others,M,48,"No injury, board bitten",No Fatal,Morning
Jun,2017,Unprovoked,AUSTRALIA,Surfing,F,0,"No injury, knocked off board",No Fatal,Afternoon
Jun,2017,Unprovoked,USA,Surfing,M,19,Laceration to left foot,No Fatal,Morning
Jun,2017,Unprovoked,BAHAMAS,Others,F,32,Right forearm severed ,No Fatal,Afternoon
Apr,2017,Unprovoked,SOUTH AFRICA,Surfing,M,14,Minor injury to right calf,No Fatal,Afternoon
Apr,2017,Unprovoked,USA,Surfing,F,33,Left foot bitten,No Fatal,Morning
Apr,2017,Unprovoked,REUNION,Others,M,28,FATAL,Fatal,Morning
Apr,2017,Unprovoked,NEW ZEALAND,Others,F,20,Puncture wounds & laceration above knee,No Fatal,Afternoon
Apr,2017,Unprovoked,unknown,Others,F,40,Calf & foot bitten,No Fatal,Afternoon
Apr,2017,Unprovoked,AUSTRALIA,Surfing,F,17,FATAL,Fatal,Afternoon
Apr,2017,Unprovoked,USA,Surfing,M,28,Lower right leg severely injured,No Fatal,Morning
Apr,2017,Unprovoked,USA,Surfing,M,17,Lacerations to right foot,No Fatal,Afternoon
Apr,2017,Unprovoked,USA,Surfing,F,35,Calf bitten,No Fatal,Afternoon
Apr,2017,Unprovoked,USA,Others,F,10,Laceration to calf,No Fatal,Afternoon
Apr,2017,Unprovoked,USA,Swimming,F,21,Minor injury to left hand,No Fatal,Afternoon
Apr,2017,Unprovoked,USA,Swimming,F,51,"Thigh nipped, minor injury",No Fatal,Afternoon
Apr,2017,Unprovoked,AUSTRALIA,Others,M,39,"No injury, shark bit off stern of kayak",No Fatal,Afternoon
Apr,2017,Unprovoked,USA,Swimming,F,17,Lacerations to thighs,No Fatal,Afternoon
Feb,2017,Unprovoked,AUSTRALIA,Others,F,0,Hand bitten,No Fatal,Morning
Feb,2017,Unprovoked,REUNION,Others,M,26,Fatal,Fatal,Morning
Feb,2017,Unprovoked,AUSTRALIA,Spearfishing,M,26,Left leg severely bitten,No Fatal,Morning
Feb,2017,Unprovoked,USA,Swimming,M,22,Injury to hand,No Fatal,Afternoon
Feb,2017,Provoked,BRAZIL,Others,F,0,"Minor injury to finger, PROVOKED INCIDENT",No Fatal,Afternoon
Feb,2017,Unprovoked,BAHAMAS,Diving,M,37,Lacerations to upper right arm,No Fatal,Evening
Jan,2017,Unprovoked,BRAZIL,Swimming,M,21,Minor laceration to ring finger,No Fatal,Afternoon
Jan,2017,Unprovoked,AUSTRALIA,Diving,M,55,"Multiple injuries to arm, wrist and torso",No Fatal,Afternoon
Jan,2017,Unprovoked,AUSTRALIA,Swimming,M,57,Injury to hand,No Fatal,Afternoon
Jan,2017,Unprovoked,INDONESIA,Surfing,M,48,Injury to right wrist & forearm,No Fatal,Morning
Jan,2017,Unprovoked,USA,Others,M,47,Minor injuries to foot,No Fatal,Afternoon
Jan,2017,Unprovoked,AUSTRALIA,Others,M,20,Minor injuries to foot & toes,No Fatal,Evening
Dec,2016,Unprovoked,USA,Surfing,M,16,Lacerations to right forearm,No Fatal,Afternoon
Dec,2016,Unprovoked,AUSTRALIA,Others,F,0,Buttock bitten,No Fatal,Morning
Dec,2016,Unprovoked,SOUTH AFRICA,Others,M,55,"No injury, but ski severely damaged",No Fatal,Morning
Dec,2016,Unprovoked,AUSTRALIA,Others,M,61,Punctures to left foot/ankle,No Fatal,Morning
Dec,2016,Unprovoked,USA,Surfing,M,19,Cuts to right ankle & foot,No Fatal,Afternoon
Dec,2016,Provoked,AUSTRALIA,Others,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,No Fatal,Evening
Dec,2016,Unprovoked,AUSTRALIA,Surfing,M,65,Injuries to foot & arm,No Fatal,Morning
Nov,2016,Provoked,AUSTRALIA,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,No Fatal,Morning
Nov,2016,Unprovoked,USA,Others,F,58,Injuries to right calf and thigh,No Fatal,Morning
Oct,2016,Unprovoked,USA,Surfing,M,41,Lacerations to right foot and ankle,No Fatal,Afternoon
Oct,2016,Unprovoked,USA,Surfing,M,42,Lacerations to right hand,No Fatal,Afternoon
Oct,2016,Unprovoked,AUSTRALIA,Surfing,M,36,Lacerations to left thigh,No Fatal,Morning
Oct,2016,Unprovoked,USA,Surfing,M,36,Left arm and leg injured,No Fatal,Afternoon
Oct,2016,Unprovoked,USA,Others,F,66,Injuries to left calf,No Fatal,Morning
Oct,2016,Unprovoked,AUSTRALIA,Surfing,M,25,Minor wound to lower right leg & surfboard bitten,No Fatal,Morning
Oct,2016,Unprovoked,USA,Surfing,M,29,Wounds to upper thigh and lower leg,No Fatal,Afternoon
Oct,2016,Unprovoked,USA,Surfing,M,21,Cuts to dorsal surface of left foot,No Fatal,Morning
Oct,2016,Unprovoked,USA,,M,32,Minor injuries,No Fatal,Afternoon
Sep,2016,Unprovoked,AUSTRALIA,Surfing,M,17,4 deep lacerations to thigh,No Fatal,Evening
Sep,2016,Unprovoked,USA,Surfing,M,16,Minor injury to thigh,No Fatal,Afternoon
Sep,2016,Unprovoked,USA,Surfing,M,36,Lacerations to hands,No Fatal,Morning
Sep,2016,Unprovoked,USA,Surfing,M,43,Lacerations to lower leg,No Fatal,Morning
Sep,2016,Unprovoked,USA,Surfing,M,43,"No injury, board bitten",No Fatal,Evening
Sep,2016,Unprovoked,USA,Others,M,60,Minor injury to arm,No Fatal,Afternoon
Sep,2016,Unprovoked,USA,Swimming,F,51,Severe lacerations to shoulder & forearm,No Fatal,Afternoon
Sep,2016,Unprovoked,NEW CALEDONIA,Others,M,50,FATAL,Fatal,Afternoon
Sep,2016,Unprovoked,USA,Others,F,12,Lacerations & punctures to lower right leg,No Fatal,Afternoon
Sep,2016,Unprovoked,USA,Spearfishing,M,22,Two toes broken & lacerated,No Fatal,Evening
Aug,2016,Unprovoked,USA,Surfing,M,25,Lacerations to right foot,No Fatal,Afternoon
Aug,2016,Unprovoked,USA,Surfing,M,37,Minor injury to ankle,No Fatal,Afternoon
Aug,2016,Unprovoked,REUNION,Surfing,M,20,"Right arm severed, ankle severely bitten ",No Fatal,Afternoon
Aug,2016,Unprovoked,USA,Others,M,49,Minor injury to ankle,No Fatal,Afternoon
Aug,2016,Unprovoked,USA,Others,M,21,"No inury, shark & board collided",No Fatal,Afternoon
Aug,2016,Unprovoked,USA,Surfing,M,22,Big toe bitten,No Fatal,Evening
Jul,2016,Unprovoked,SPAIN,Swimming,M,40,Lacerations to right hand,No Fatal,Morning
Jul,2016,Provoked,USA,Others,M,43,Laceration to left forearm PROVOKED INCIDENT,No Fatal,Evening
Jul,2016,Unprovoked,AUSTRALIA,Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",No Fatal,Afternoon
Jul,2016,Unprovoked,JAPAN,Surfing,M,29,Lacerations to left leg,No Fatal,Evening
Jul,2016,Provoked,AUSTRALIA,Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,No Fatal,Evening
Jul,2016,Unprovoked,USA,Surfing,F,0,Minor injury to leg,No Fatal,Evening
Jul,2016,Unprovoked,USA,Others,M,61,"No injury, board damaged",No Fatal,Afternoon
Jul,2016,Provoked,USA,Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,No Fatal,Morning
Jul,2016,Unprovoked,USA,Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",No Fatal,Afternoon
Jul,2016,Provoked,AUSTRALIA,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,No Fatal,Evening
Jun,2016,Unprovoked,USA,,M,35,Minor injury,No Fatal,Afternoon
Jun,2016,Unprovoked,USA,Surfing,M,11,Foot injured,No Fatal,Afternoon
Jun,2016,Unprovoked,unknown,Diving,M,59,Severe bite to right hand,No Fatal,Morning
Jun,2016,Unprovoked,SOUTH AFRICA,Spearfishing,M,43,Injuries to left leg & right hand,No Fatal,Evening
Jun,2016,Unprovoked,USA,Others,M,42,Lacerations and punctures to foot,No Fatal,Afternoon
Jun,2016,Unprovoked,USA,Surfing,M,0,Single puncture wound to arm,No Fatal,Evening
Jun,2016,Provoked,AUSTRALIA,Spearfishing,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,No Fatal,Evening
Jun,2016,Unprovoked,USA,Others,F,0,Injury to lower leg,No Fatal,Afternoon
Jun,2016,Unprovoked,USA,Others,M,19,Laceration to wrist,No Fatal,Afternoon
Jun,2016,Unprovoked,USA,Surfing,M,27,"No injury, board damaged",No Fatal,Morning
Jun,2016,Unprovoked,USA,Swimming,M,64,Leg bitten,No Fatal,Morning
Jun,2016,Unprovoked,AUSTRALIA,Diving,F,60,FATAL,Fatal,Morning
Jun,2016,Unprovoked,EGYPT,Swimming,M,23,"Leg severely bitten, surgically amputated",No Fatal,Morning
Apr,2016,Unprovoked,INDONESIA,Surfing,M,24,Elbow bitten,No Fatal,Morning
Apr,2016,Unprovoked,USA,Surfing,M,15,Minor injury to left foot,No Fatal,Afternoon
Apr,2016,Unprovoked,SOUTH AFRICA,Others,M,0,"No injury, surf-ski bitten",No Fatal,Morning
Apr,2016,Unprovoked,AUSTRALIA,Swimming,M,12,Minor puncture wound to foot,No Fatal,Afternoon
Apr,2016,Provoked,FRENCH POLYNESIA,Spearfishing,M,22,Laceration to knee by speared shark PROVOKED INCIDENT,No Fatal,Morning
Apr,2016,Provoked,FRENCH POLYNESIA,Spearfishing,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",No Fatal,Morning
Apr,2016,Unprovoked,USA,Spearfishing,M,26,Multiple bites to right arm,No Fatal,Evening
Apr,2016,Unprovoked,NEW CALEDONIA,Others,F,69,FATAL,Fatal,Morning
Apr,2016,Unprovoked,USA,Fishing,M,34,Left hand bitten,No Fatal,Evening
Feb,2016,Unprovoked,NEW CALEDONIA,Others,M,21,Puncture wounds to right thigh,No Fatal,Evening
Feb,2016,Unprovoked,NEW CALEDONIA,Spearfishing,M,31,Forearm bitten,No Fatal,Afternoon
Feb,2016,Unprovoked,AUSTRALIA,Others,F,45,Foot nipped,No Fatal,Afternoon
Feb,2016,Unprovoked,AUSTRALIA,Others,M,40,"No injury, shark bit board",No Fatal,Afternoon
Feb,2016,Unprovoked,BRAZIL,Swimming,M,41,Lacerations to scalp,No Fatal,Evening
Jan,2016,Unprovoked,USA,Surfing,M,0,Lacerations to both hands,No Fatal,Afternoon
Jan,2016,Unprovoked,USA,Surfing,F,15,No injury,No Fatal,Morning
Jan,2016,Unprovoked,USA,Spearfishing,M,0,"Bruised ribs & tail bone, speargun broken and wetsuit cut",No Fatal,Morning
Jan,2016,Unprovoked,USA,Others,M,48,No injury,No Fatal,Morning
Jan,2016,Unprovoked,AUSTRALIA,Others,M,11,Laceration to right calf,No Fatal,Afternoon
Jan,2016,Unprovoked,AUSTRALIA,Spearfishing,M,31,Lacerations to arms & leg,No Fatal,Morning
Dec,2015,Unprovoked,SOUTH AFRICA,Fishing,M,0,"No injury, kayak damaged",No Fatal,Morning
Dec,2015,Unprovoked,SPAIN,Swimming,F,38,Lacerations to left forearm,No Fatal,Evening
Dec,2015,Unprovoked,USA,Others,M,71,"No injury, shark bit board",No Fatal,Morning
Dec,2015,Unprovoked,AUSTRALIA,Surfing,M,43,"No injury, shark leapt on surfboard",No Fatal,Morning
Dec,2015,Unprovoked,BRAZIL,Others,M,32,Right hand & part of forearm removed,No Fatal,Evening
Dec,2015,Unprovoked,SOUTH AFRICA,Swimming,F,22,Lacerations to both hands and forearms,No Fatal,Morning
Nov,2015,Unprovoked,ECUADOR,Others,M,55,Lacerations to left calf,No Fatal,Morning
Nov,2015,Unprovoked,USA,Surfing,M,28,Lacerations to hand,No Fatal,Evening
Nov,2015,Unprovoked,AUSTRALIA,Surfing,M,20,Injury to left thigh,No Fatal,Evening
Nov,2015,Unprovoked,USA,Surfing,F,0,Lower left leg injured,No Fatal,Morning
Nov,2015,Unprovoked,USA,Swimming,M,54,Laceration to right ankle,No Fatal,Morning
Nov,2015,Unprovoked,USA,Others,F,28,Injury to right ankle/calf & hand,No Fatal,Afternoon
Nov,2015,Unprovoked,MOZAMBIQUE,Fishing,M,19,"Arms severely injured, surgically amputated",No Fatal,Evening
Oct,2015,Unprovoked,USA,Others,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",No Fatal,Afternoon
Oct,2015,Unprovoked,SOUTH AFRICA,Surfing,M,42,"Lacerations to right calf, knee & hip",No Fatal,Afternoon
Oct,2015,Unprovoked,USA,Surfing,M,21,Lacerations to left hand,No Fatal,Afternoon
Oct,2015,Unprovoked,USA,Surfing,M,21,Left foot bitten,No Fatal,Afternoon
Oct,2015,Unprovoked,USA,Surfing,M,32,Left foot bitten by eel,No Fatal,Evening
Oct,2015,Unprovoked,USA,Swimming,M,44,Severe injuries to lower legs. Foot later surgically amputated.,No Fatal,Morning
Oct,2015,Unprovoked,USA,Fishing,M,0,"No injury, shark rammed kayak repeatedly",No Fatal,Morning
Oct,2015,Unprovoked,USA,Others,F,0,Laceration to forearm,No Fatal,Afternoon
Oct,2015,Unprovoked,USA,Surfing,M,25,"Left leg severed below the knee, defense injuries to left hand",No Fatal,Morning
Oct,2015,Unprovoked,AUSTRALIA,Surfing,M,18,Foot injured,No Fatal,Afternoon
Oct,2015,Unprovoked,USA,Others,M,22,2 lacerations to ankle,No Fatal,Afternoon
Oct,2015,Unprovoked,USA,Others,M,13,Foot & hands bitten,No Fatal,Morning
Oct,2015,Unprovoked,USA,Surfing,M,14,Severe lacerations to left hand,No Fatal,Morning
Sep,2015,Unprovoked,USA,Surfing,M,22,"Laceration to heel, puncture wounds to dorsum of foot",No Fatal,Afternoon
Sep,2015,Unprovoked,AUSTRALIA,Others,F,0,Laceration to leg,No Fatal,Afternoon
Sep,2015,Unprovoked,USA,Others,M,0,"No injury, kayak damaged",No Fatal,Morning
Sep,2015,Unprovoked,USA,Surfing,M,14,Minor injury to left ankle,No Fatal,Afternoon
Sep,2015,Unprovoked,USA,Spearfishing,M,27,Severe laceration to left leg,No Fatal,Afternoon
Sep,2015,Unprovoked,USA,Others,M,12,Significant injuries to leg,No Fatal,Afternoon
Sep,2015,Unprovoked,USA,Others,M,16,Injury to right hand / wrist,No Fatal,Morning
Sep,2015,Unprovoked,USA,Surfing,M,20,Injury to right foot,No Fatal,Afternoon
Sep,2015,Unprovoked,AUSTRALIA,Surfing,M,42,Minor laceration to hand,No Fatal,Evening
Sep,2015,Unprovoked,USA,Others,F,50,"No injury, shark struck board, tossing her into the sea",No Fatal,Afternoon
Sep,2015,Provoked,USA,Fishing,M,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,No Fatal,Afternoon
Sep,2015,Unprovoked,AUSTRALIA,Others,M,62,Inuries to lower left leg & ankle,No Fatal,Morning
Sep,2015,Unprovoked,THAILAND,Others,F,37,Left foot & ankle bitten,No Fatal,Morning
Aug,2015,Unprovoked,USA,Surfing,F,54,"No injury, surfboard bitten",No Fatal,Morning
Aug,2015,Unprovoked,USA,Surfing,M,21,"No injury, shark struk sufer's leg and his board",No Fatal,Morning
Aug,2015,Unprovoked,AUSTRALIA,Surfing,M,38,Severe laceration to left buttock & thigh,No Fatal,Afternoon
Aug,2015,Unprovoked,USA,Surfing,M,15,"Injuries to left calf, arm and hand",No Fatal,Afternoon
Aug,2015,Unprovoked,USA,Others,F,10,Lacerations to right leg,No Fatal,Afternoon
Aug,2015,Unprovoked,USA,Fishing,M,22,"No injury, kayak bitten",No Fatal,Morning
Aug,2015,Unprovoked,SPAIN,Swimming,M,10,Minor injury when he attempted to touch a fish. ,No Fatal,Morning
Aug,2015,Provoked,USA,Spearfishing,M,57,Right hand bitten  PROVOKED INCIDENT,No Fatal,Morning
Jul,2015,Unprovoked,AUSTRALIA,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",No Fatal,Evening
Jul,2015,Unprovoked,USA,Surfing,M,25,Minor injury to sole of foot,No Fatal,Evening
Jul,2015,Unprovoked,USA,Others,F,35,"2' cut to dorsum of foot, 2 puncture wounds to sole",No Fatal,Morning
Jul,2015,Unprovoked,AUSTRALIA,Others,M,46,FATAL,Fatal,Morning
Jul,2015,Provoked,USA,Fishing,M,31,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,No Fatal,Evening
Jul,2015,Unprovoked,AUSTRALIA,Surfing,M,40,Left hand bitten,No Fatal,Evening
Jul,2015,Unprovoked,SOUTH AFRICA,Surfing,M,34,No injury,No Fatal,Evening
Jul,2015,Unprovoked,USA,Surfing,M,38,"No injury, shark bumped & damaged board",No Fatal,Morning
Jul,2015,Unprovoked,BAHAMAS,Spearfishing,F,23,Lacerations to lower leg & ankle,No Fatal,Evening
Jul,2015,Unprovoked,AUSTRALIA,Surfing,M,52,"No injury, shark bit surfboard",No Fatal,Morning
Jul,2015,Unprovoked,AUSTRALIA,Others,M,32,Significant injuries to lower legs,No Fatal,Morning
Jul,2015,Unprovoked,USA,Swimming,M,68,"Injuries to torso, hip, lower leg & hands",No Fatal,Afternoon
Jun,2015,Unprovoked,USA,Others,M,12,Shallow lacerations & puncture to lateral left leg,No Fatal,Evening
Jun,2015,Unprovoked,USA,Swimming,M,18,"Injuries to right calf, buttock and both hands",No Fatal,Afternoon
Jun,2015,Unprovoked,SOUTH AFRICA,Others,M,19,"Right leg severed, multiple lacerations to left leg",No Fatal,Afternoon
Jun,2015,Unprovoked,SOUTH AFRICA,Surfing,M,23,Multiple lacerations to torso & leg,No Fatal,Afternoon
Jun,2015,Unprovoked,USA,Others,M,43,Puncture wounds to foot,No Fatal,Morning
Jun,2015,Unprovoked,USA,Others,M,47,Multiple lacerations to back,No Fatal,Morning
Jun,2015,Unprovoked,USA,Swimming,M,0,Minor injury to foot,No Fatal,Afternoon
Jun,2015,Unprovoked,AUSTRALIA,Surfing,F,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",No Fatal,Morning
Jun,2015,Unprovoked,USA,Others,M,0,Minor injury to calf ,No Fatal,Evening
Jun,2015,Unprovoked,USA,Swimming,M,10,Minor injury to calf ,No Fatal,Afternoon
Jun,2015,Unprovoked,USA,Others,M,16,Arm amputated below shoulder,No Fatal,Afternoon
Jun,2015,Unprovoked,USA,Others,F,12,Left arm amputated at elbow & severe injury to leg,No Fatal,Afternoon
Jun,2015,Unprovoked,USA,Others,F,13,Minor lacerations to foot,No Fatal,Afternoon
Jun,2015,Unprovoked,USA,Others,M,11,Lacerations to right calf,No Fatal,Morning
Jun,2015,Unprovoked,USA,Others,F,17,Puncture wound to finger,No Fatal,Evening
Jun,2015,Unprovoked,REUNION,Surfing,M,47,Left forearm bitten,No Fatal,Afternoon
Apr,2015,Unprovoked,USA,Others,F,65,FATAL,Fatal,Morning
Apr,2015,Unprovoked,USA,Others,M,63,Lacerations to left calf,No Fatal,Afternoon
Apr,2015,Unprovoked,AUSTRALIA,Surfing,M,26,Leg severed at mid-thigh,No Fatal,Morning
Jun,2015,Unprovoked,AUSTRALIA,Others,M,71,"No injury, knocked off ski",No Fatal,Morning
Apr,2015,Unprovoked,USA,Others,M,48,Lacerations to shoulder and left bicep,No Fatal,Evening
Apr,2015,Unprovoked,REUNION,Surfing,M,13,FATAL,Fatal,Morning
Apr,2015,Unprovoked,USA,Spearfishing,M,70,Injuries to head & torso,No Fatal,Afternoon
Feb,2015,Unprovoked,REUNION,Swimming,F,22,FATAL,Fatal,Evening
Feb,2015,Unprovoked,AUSTRALIA,Surfing,M,41,FATAL,Fatal,Morning
