date,year,type,country,area,activity,sex,age,injury,fatal,time
Sep,2017,Unprovoked,USA,Florida,Surfing,M,18,Lacerations to left foot,N,18h45
Sep,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,35,Minor lacerations to right hip,N,06h00
Sep,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,M,42,Injury to ankle & feet,N,10h00
Sep,2017,Unprovoked,USA,Florida,Surfing,M,17,Minor injury to right hand,N,10h44
Aug,2017,Unprovoked,AUSTRALIA,Victoria,Surfing,M,37,"No injury, board bitten",N,10h30
Aug,2017,Unprovoked,USA,Florida,Wading,F,0,Leg injured,N,13h19
Aug,2017,Unprovoked,SPAIN,Castellón,Swimming,F,11,Lacerations to left foot,,Midday
Aug,2017,Unprovoked,USA,Massachusetts,SUP,M,69,Not injured by shark but board bitten,N,10h00
Aug,2017,Unprovoked,USA,South Carolina,Swimming,M,13,Minor cuts to sole & toes of left foot,N,13h30
Aug,2017,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,F,20,Bite to right leg/hip,N,
Aug,2017,Provoked,USA,Massachusetts,Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30
Aug,2017,Unprovoked,USA,California,Kayaking / Fishing,M,0,"No injury, bow of kayak bitten",N,10h45
Jul,2017,Unprovoked,USA,Florida,Skimboarding,M,15,Lacerations to lower leg,N,18h30
Jul,2017,Unprovoked,USA,South Carolina,Swimming,M,10,Abrasions and cuts to sole of foot,,15h00
Jul,2017,Unprovoked,unknown,Ascension Island,Surfing,M,37,Torso bitten,N,17h00
Jul,2017,Unprovoked,SPAIN,Majorca,Swimming,F,0,Abrasion to arm from shark's rough skin,N,Afternoon
Jul,2017,Unprovoked,USA,Florida,,F,40,Foot bitten,N,12h30
Jul,2017,Unprovoked,USA,California,Kayaking,M,40,"No injury, kayak bitten",N,11h20
Jul,2017,Unprovoked,USA,California,SUP,M,50,"No injury, shark bit paddleboard",N,07h45
Jul,2017,Unprovoked,USA,Washington,Surfing,M,0,Pulled off board by shark but no injury,N,18h30
Jul,2017,Unprovoked,USA,California,Kayaking,M,0,"No injury, kayak bitten",N,11h00
Jul,2017,Unprovoked,USA,Florida,Swimming,M,46,Lower legs bitten,N,15h30
Jul,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,F,13,"No injury, shark bit surfboard",N,15h00
Jun,2017,Unprovoked,USA,South Carolina,Swimming,F,14,Leg bitten,N,
Jun,2017,Unprovoked,REUNION,,Body boarding,M,34,"No injury, shark bit surfboard ",N,10h00
Jun,2017,Unprovoked,SPAIN,Ibiza Island,Swimming,M,82,2-inch laceration to hand,N,12h00
Jun,2017,Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,48,"No injury, board bitten",N,08h30
Jun,2017,Unprovoked,AUSTRALIA,Victoria,Surfing,F,0,"No injury, knocked off board",N,15h45
Jun,2017,Unprovoked,USA,Florida,Surfing,M,19,Laceration to left foot,N,10h00
Jun,2017,Unprovoked,BAHAMAS,New Providence ,Snorkeling,F,32,Right forearm severed ,N,Shortly before 12h00
Apr,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,14,Minor injury to right calf,N,17h10
Apr,2017,Unprovoked,USA,South Carolina,Surfing,F,33,Left foot bitten,N,11h00
Apr,2017,Unprovoked,REUNION,Saint-Leu,Body boarding,M,28,FATAL,Y,11h15
Apr,2017,Unprovoked,NEW ZEALAND,South Island,Body boarding,F,20,Puncture wounds & laceration above knee,N,14h00
Apr,2017,Unprovoked,unknown,Ascension Island,Snorkeling,F,40,Calf & foot bitten,N,16h00
Apr,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,F,17,FATAL,Y,16h00
Apr,2017,Unprovoked,USA,Hawaii,Surfing,M,28,Lower right leg severely injured,N,09h00
Apr,2017,Unprovoked,USA,Florida,Surfing,M,17,Lacerations to right foot,N,13h30
Apr,2017,Unprovoked,USA,Florida,Surfing,F,35,Calf bitten,N,16h00
Apr,2017,Unprovoked,USA,Florida,Paddle boarding,F,10,Laceration to calf,N,17h45
Apr,2017,Unprovoked,USA,Florida,Swimming,F,21,Minor injury to left hand,N,17h00
Apr,2017,Unprovoked,USA,Florida,Swimming,F,51,"Thigh nipped, minor injury",N,13h00
Apr,2017,Unprovoked,AUSTRALIA,Queensland,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,Afternoon
Apr,2017,Unprovoked,USA,Florida,Swimming,F,17,Lacerations to thighs,N,15h00
Feb,2017,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,0,Hand bitten,N,Morning
Feb,2017,Unprovoked,REUNION,Saint-Andre,Body boarding,M,26,Fatal,Y,09h30
Feb,2017,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,26,Left leg severely bitten,N,10h20
Feb,2017,Unprovoked,USA,Florida,Swimming,M,22,Injury to hand,N,13h30
Feb,2017,Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,F,0,"Minor injury to finger, PROVOKED INCIDENT",N,Afternoon
Feb,2017,Unprovoked,BAHAMAS,Bimini,Scuba Diving,M,37,Lacerations to upper right arm,N,
Jan,2017,Unprovoked,BRAZIL,Pernambuco,Swimming,M,21,Minor laceration to ring finger,N,13h20
Jan,2017,Unprovoked,AUSTRALIA,Queensland,Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,12h00
Jan,2017,Unprovoked,AUSTRALIA,Queensland,Swimming,M,57,Injury to hand,N,13h30
Jan,2017,Unprovoked,INDONESIA,Bali,Surfing,M,48,Injury to right wrist & forearm,N,07h30
Jan,2017,Unprovoked,USA,Florida,Wading,M,47,Minor injuries to foot,N,12h30
Jan,2017,Unprovoked,AUSTRALIA,New South Wales,Wading,M,20,Minor injuries to foot & toes,,18h00
Dec,2016,Unprovoked,USA,Florida,Surfing,M,16,Lacerations to right forearm,N,17h00
Dec,2016,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,0,Buttock bitten,N,Morning
Dec,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,M,55,"No injury, but ski severely damaged",N,07h00
Dec,2016,Unprovoked,AUSTRALIA,Western Australia,Free diving,M,61,Punctures to left foot/ankle,N,09h30
Dec,2016,Unprovoked,USA,Florida,Surfing,M,19,Cuts to right ankle & foot,,Afternoon
Dec,2016,Provoked,AUSTRALIA,New South Wales,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,02h00
Dec,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,65,Injuries to foot & arm,N,09h00
Nov,2016,Provoked,AUSTRALIA,Victoria,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,11h00
Nov,2016,Unprovoked,USA,Hawaii,Floating,F,58,Injuries to right calf and thigh,N,10h30
Oct,2016,Unprovoked,USA,Florida,Surfing,M,41,Lacerations to right foot and ankle,N,Afternoon
Oct,2016,Unprovoked,USA,Florida,Surfing,M,42,Lacerations to right hand,N,Afternoon
Oct,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,36,Lacerations to left thigh,N,07h30
Oct,2016,Unprovoked,USA,Hawaii,Surfing,M,36,Left arm and leg injured,N,17h00
Oct,2016,Unprovoked,USA,Hawaii,Snorkeling,F,66,Injuries to left calf,N,09h50
Oct,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,10h30
Oct,2016,Unprovoked,USA,Oregon,Surfing,M,29,Wounds to upper thigh and lower leg,N,16h00
Oct,2016,Unprovoked,USA,Florida,Surfing,M,21,Cuts to dorsal surface of left foot,N,11h30
Oct,2016,Unprovoked,USA,Florida,Surfng,M,32,Minor injuries,N,17h30
Sep,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,17,4 deep lacerations to thigh,N,9h00
Sep,2016,Unprovoked,USA,Florida,Surfing,M,16,Minor injury to thigh,N,13h00
Sep,2016,Unprovoked,USA,Florida,Surfing,M,36,Lacerations to hands,N,11h00
Sep,2016,Unprovoked,USA,Florida,Surfing,M,43,Lacerations to lower leg,N,10h43
Sep,2016,Unprovoked,USA,California,Surfing,M,43,"No injury, board bitten",N,After noon
Sep,2016,Unprovoked,USA,Florida,Wading,M,60,Minor injury to arm,N,15h15
Sep,2016,Unprovoked,USA,Hawaii,Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30
Sep,2016,Unprovoked,NEW CALEDONIA,North Province,Kite surfing,M,50,FATAL,Y,15h40
Sep,2016,Unprovoked,USA,South Carolina,Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Late afternoon
Sep,2016,Unprovoked,USA,California,Spearfishing,M,22,Two toes broken & lacerated,N,
Aug,2016,Unprovoked,USA,Florida,Surfing,M,25,Lacerations to right foot,N,15h00
Aug,2016,Unprovoked,USA,Florida,Surfing,M,37,Minor injury to ankle,N,14h00
Aug,2016,Unprovoked,REUNION,,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,17h00
Aug,2016,Unprovoked,USA,Florida,Wading,M,49,Minor injury to ankle,N,16h00
Aug,2016,Unprovoked,USA,Hawaii,SUP Foil boarding,M,21,"No inury, shark & board collided",N,16h30
Aug,2016,Unprovoked,USA,Florida,Surfing,M,22,Big toe bitten,N,
Jul,2016,Unprovoked,SPAIN,Alicante Province,Swimming,M,40,Lacerations to right hand,N,11h30
Jul,2016,Provoked,USA,Florida,Lobstering,M,43,Laceration to left forearm PROVOKED INCIDENT,N,
Jul,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,12h00
Jul,2016,Unprovoked,JAPAN,Kochi Prefecture,Surfing,M,29,Lacerations to left leg,N,19h05
Jul,2016,Provoked,AUSTRALIA,Queensland,Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon
Jul,2016,Unprovoked,USA,Florida,Surfing,F,0,Minor injury to leg,N,1300
Jul,2016,Unprovoked,USA,California,Kite surfing,M,61,"No injury, board damaged",N,17h00
Jul,2016,Provoked,USA,Massachusetts,Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00
Jul,2016,Unprovoked,USA,Florida,Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30
Jul,2016,Provoked,AUSTRALIA,Queensland,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00
Jun,2016,Unprovoked,USA,South Carolina,,M,35,Minor injury,N,16h20
Jun,2016,Unprovoked,USA,North Carolina,Surfing,M,11,Foot injured,N,14h34
Jun,2016,Unprovoked,unknown,Isla Provedencia,Scuba Diving,M,59,Severe bite to right hand,N,11h00
Jun,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,43,Injuries to left leg & right hand,N,
Jun,2016,Unprovoked,USA,South Carolina,Floating,M,42,Lacerations and punctures to foot,N,15h25
Jun,2016,Unprovoked,USA,Hawaii,Surfing,M,0,Single puncture wound to arm,N,06h00
Jun,2016,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,
Jun,2016,Unprovoked,USA,Texas,Floating in tube,F,0,Injury to lower leg,N,17h30
Jun,2016,Unprovoked,USA,North Carolina,Standing,M,19,Laceration to wrist,N,15h00
Jun,2016,Unprovoked,USA,South Carolina,Surfing,M,27,"No injury, board damaged",,11h30
Jun,2016,Unprovoked,USA,Florida,Swimming,M,64,Leg bitten,N,08h30
Jun,2016,Unprovoked,AUSTRALIA,Western Australia,Diving,F,60,FATAL,Y,11h30
Jun,2016,Unprovoked,EGYPT,Suez,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Morning
Apr,2016,Unprovoked,INDONESIA,Bali,Surfing,M,24,Elbow bitten,N,07h00
Apr,2016,Unprovoked,USA,Florida,Surfing,M,15,Minor injury to left foot,N,17h30
Apr,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,M,0,"No injury, surf-ski bitten",N,08h00
Apr,2016,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,12,Minor puncture wound to foot,N,12h00
Apr,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,M,22,Laceration to knee by speared shark PROVOKED INCIDENT,M,Morning
Apr,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,Morning
Apr,2016,Unprovoked,USA,Florida,Spearfishing,M,26,Multiple bites to right arm,N,
Apr,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Walking,F,69,FATAL,Y,10h45
Apr,2016,Unprovoked,USA,Florida,Fishing,M,34,Left hand bitten,N,
Feb,2016,Unprovoked,NEW CALEDONIA,South Province,Kite surfing,M,21,Puncture wounds to right thigh,N,19h00
Feb,2016,Unprovoked,NEW CALEDONIA,South Province,Spearfishing,M,31,Forearm bitten,N,16h00
Feb,2016,Unprovoked,AUSTRALIA,Queensland,Walking,F,45,Foot nipped,N,13h20
Feb,2016,Unprovoked,AUSTRALIA,New South Wales,Windsurfing,M,40,"No injury, shark bit board",N,Late afternoon
Feb,2016,Unprovoked,BRAZIL,Balneário Camboriú,Swimming,M,41,Lacerations to scalp,N,
Jan,2016,Unprovoked,USA,Hawaii,Surfing,M,0,Lacerations to both hands,N,14h00
Jan,2016,Unprovoked,USA,Hawaii,Surfing,F,15,No injury,N,11h30
Jan,2016,Unprovoked,USA,Texas,Spearfishing,M,0,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,09h30 / 10h00
Jan,2016,Unprovoked,USA,Hawaii,Paddle boarding,M,48,No injury,N,Morning
Jan,2016,Unprovoked,AUSTRALIA,Queensland,Wading,M,11,Laceration to right calf,N,Afternoon
Jan,2016,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,31,Lacerations to arms & leg,N,11h30
Dec,2015,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Kayak Fishing,M,0,"No injury, kayak damaged",N,Morning
Dec,2015,Unprovoked,SPAIN,Grand Canary Island,Swimming,F,38,Lacerations to left forearm,N,
Dec,2015,Unprovoked,USA,Hawaii,Paddle boarding,M,71,"No injury, shark bit board",N,Morning
Dec,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,43,"No injury, shark leapt on surfboard",N,07h00
Dec,2015,Unprovoked,BRAZIL,Pernambuco,Scuba diving,M,32,Right hand & part of forearm removed,N,
Dec,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming / Wading,F,22,Lacerations to both hands and forearms,N,Morning
Nov,2015,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,55,Lacerations to left calf,N,10h15
Nov,2015,Unprovoked,USA,Florida,Surfing,M,28,Lacerations to hand,N,
Nov,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,20,Injury to left thigh,N,18h15
Nov,2015,Unprovoked,USA,Florida,Surfing,F,0,Lower left leg injured,,11h00
Nov,2015,Unprovoked,USA,Hawaii,Swimming,M,54,Laceration to right ankle,N,11h00
Nov,2015,Unprovoked,USA,Florida,Wading,F,28,Injury to right ankle/calf & hand,N,14h00
Nov,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,M,19,"Arms severely injured, surgically amputated",N,04h00
Oct,2015,Unprovoked,USA,Hawaii,Body boarding,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,14h50
Oct,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,42,"Lacerations to right calf, knee & hip",N,15h00
Oct,2015,Unprovoked,USA,Florida,Surfing,M,21,Lacerations to left hand,N,14h30
Oct,2015,Unprovoked,USA,Florida,Surfing,M,21,Left foot bitten,N,13h50
Oct,2015,Unprovoked,USA,Hawaii,Surfing,M,32,Left foot bitten by eel,,19h20
Oct,2015,Unprovoked,USA,Hawaii,Swimming,M,44,Severe injuries to lower legs. Foot later surgically amputated.,N,11h30
Oct,2015,Unprovoked,USA,California,Kayak Fishing,M,0,"No injury, shark rammed kayak repeatedly",N,11h00
Oct,2015,Unprovoked,USA,South Carolina,Boogie boarding,F,0,Laceration to forearm,N,16h20
Oct,2015,Unprovoked,USA,Hawaii,Surfing,M,25,"Left leg severed below the knee, defense injuries to left hand",N,10h25
Oct,2015,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,18,Foot injured,N,16h50
Oct,2015,Unprovoked,USA,Florida,Body boarding,M,22,2 lacerations to ankle,N,13h00
Oct,2015,Unprovoked,USA,Texas,Wading,M,13,Foot & hands bitten,N,10h00
Oct,2015,Unprovoked,USA,Florida,Surfing,M,14,Severe lacerations to left hand,N,08h30
Sep,2015,Unprovoked,USA,Florida,Surfing,M,22,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20
Sep,2015,Unprovoked,AUSTRALIA,Queensland,Snorkeling,F,0,Laceration to leg,N,Afternoon
Sep,2015,Unprovoked,USA,California,Kayak fishing,M,0,"No injury, kayak damaged",N,10h45-11h15
Sep,2015,Unprovoked,USA,Florida,Surfing,M,14,Minor injury to left ankle,N,16h45
Sep,2015,Unprovoked,USA,Hawaii,Spearfishing,M,27,Severe laceration to left leg,N,15h52
Sep,2015,Unprovoked,USA,Florida,Wading,M,12,Significant injuries to leg,N,12h30
Sep,2015,Unprovoked,USA,Florida,Photographing fish,M,16,Injury to right hand / wrist,N,07h30
Sep,2015,Unprovoked,USA,Florida,Surfing,M,20,Injury to right foot,N,15h00
Sep,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,42,Minor laceration to hand,N,06h15
Sep,2015,Unprovoked,USA,California,Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N,17h30
Sep,2015,Provoked,USA,California,Kayak Fishing,M,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,14h40
Sep,2015,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,M,62,Inuries to lower left leg & ankle,N,11h30
Sep,2015,Unprovoked,THAILAND,Phuket,Wading,F,37,Left foot & ankle bitten,N,08h30
Aug,2015,Unprovoked,USA,California,Surfing,F,54,"No injury, surfboard bitten",N,10h25
Aug,2015,Unprovoked,USA,California,Surfing,M,21,"No injury, shark struk sufer's leg and his board",N,10h00
Aug,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,38,Severe laceration to left buttock & thigh,N,17h10
Aug,2015,Unprovoked,USA,South Carolina,Surfing,M,15,"Injuries to left calf, arm and hand",N,12h30
Aug,2015,Unprovoked,USA,Florida,Walking,F,10,Lacerations to right leg,N,15h30
Aug,2015,Unprovoked,USA,California,Kayak Fishing,M,22,"No injury, kayak bitten",N,07h30
Aug,2015,Unprovoked,SPAIN,Alicante,Swimming,M,10,Minor injury when he attempted to touch a fish. ,,11h00
Aug,2015,Provoked,USA,California,Spearfishing,M,57,Right hand bitten  PROVOKED INCIDENT,N,08h00
Jul,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,06h00
Jul,2015,Unprovoked,USA,Florida,Surfing,M,25,Minor injury to sole of foot,N,19h00
Jul,2015,Unprovoked,USA,South Carolina,Floating,F,35,"2' cut to dorsum of foot, 2 puncture wounds to sole",,10h10
Jul,2015,Unprovoked,AUSTRALIA,Tasmania,Scallop diving on hookah,M,46,FATAL,Y,10h00
Jul,2015,Provoked,USA,California,Kayak Fishing,M,31,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,
Jul,2015,Unprovoked,AUSTRALIA,Victoria,Surfing,M,40,Left hand bitten,N,
Jul,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,34,No injury,N,
Jul,2015,Unprovoked,USA,California,Surfing,M,38,"No injury, shark bumped & damaged board",N,08h45
Jul,2015,Unprovoked,BAHAMAS,Grand Bahama Island,Spearfishing,F,23,Lacerations to lower leg & ankle,N,
Jul,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,52,"No injury, shark bit surfboard",N,09h00
Jul,2015,Unprovoked,AUSTRALIA,New South Wales,Body boarding ,M,32,Significant injuries to lower legs,N,09h00
Jul,2015,Unprovoked,USA,North Carolina,Swimming,M,68,"Injuries to torso, hip, lower leg & hands",N,12h10
Jun,2015,Unprovoked,USA,South Carolina,Playing in the water,M,12,Shallow lacerations & puncture to lateral left leg,N,18h05
Jun,2015,Unprovoked,USA,North Carolina,Swimming,M,18,"Injuries to right calf, buttock and both hands",N,16h00
Jun,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Body Boarding,M,19,"Right leg severed, multiple lacerations to left leg",N,14h40
Jun,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,23,Multiple lacerations to torso & leg,N,16h00
Jun,2015,Unprovoked,USA,South Carolina,Standing,M,43,Puncture wounds to foot,N,11h00
Jun,2015,Unprovoked,USA,North Carolina,Body surfing?,M,47,Multiple lacerations to back,N,11h41
Jun,2015,Unprovoked,USA,North Carolina,Swimming,M,0,Minor injury to foot,N,12h25
Jun,2015,Unprovoked,AUSTRALIA,Western Australia,Surfing,F,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,09h30
Jun,2015,Unprovoked,USA,South Carolina,Standing,M,0,Minor injury to calf ,N,
Jun,2015,Unprovoked,USA,Florida,Swimming,M,10,Minor injury to calf ,N,13h00
Jun,2015,Unprovoked,USA,North Carolina,Wading,M,16,Arm amputated below shoulder,N,17h51
Jun,2015,Unprovoked,USA,North Carolina,Wading,F,12,Left arm amputated at elbow & severe injury to leg,N,16h12
Jun,2015,Unprovoked,USA,North Carolina,Boogie boarding,F,13,Minor lacerations to foot,N,12h45
Jun,2015,Unprovoked,USA,Florida,Playing,M,11,Lacerations to right calf,N,10h50
Jun,2015,Unprovoked,USA,Florida,Attempting to rescue a shark,F,17,Puncture wound to finger,N,
